#{"t_start": 1746343925.8934278, "env_id": "None"}
r,l,t
-9447.9,37,843.736188
-10591.65,41,846.622078
-21469.4,35,848.722085
-12032.2,33,850.938514
-21619.8,33,853.040263
-24431.4,23,854.634643
-14670.4,37,856.953626
-12677.1,34,858.822782
-27870.8,31,861.540147
-7578.0,28,863.445914
-12357.75,28,865.348312
-15938.55,33,867.357125
-40382.0,23,869.091062
-38795.45,26,870.956385
-17547.55,31,872.99725
-23019.45,26,874.576243
-22053.0,33,876.62736
-29071.65,29,878.623888
-13172.2,31,880.636801
-19918.55,26,882.923516
-14189.65,37,884.462044
-22197.5,33,885.991322
-20546.35,42,887.946491
-10387.6,32,889.684915
-36022.55,33,891.239283
-28452.6,24,893.128118
-21915.15,29,895.035216
